Date,Aditya Birla Sun Life Multi Cap Fund,Axis Multicap Fund,Bajaj Finserv Multi Cap Fund,Bandhan Multicap Fund,Bank of India Multicap Fund,Baroda BNP Paribas Multi Cap Fund,Canara Robeco Multi Cap Fund,DSP Multicap Fund,Edelweiss Multi Cap Fund,Franklin India Multi Cap Fund,Groww Multicap Fund,HDFC Multicap Fund,HSBC Multi Cap Fund,ICICI Prudential Multicap Fund,ITI Multi Cap Fund,Invesco India Multicap Fund,Kotak Multicap Fund,LIC MF Multi Cap Fund,Mahindra Manulife Multi Cap Fund,Mirae Asset Multicap Fund,Motilal Oswal Multi Cap Fund,Nippon India Multicap Fund,PGIM India Multi Cap Fund,Quant Multi Cap Fund,SBI Multicap Fund,Samco Multi Cap Fund,Sundaram Multi Cap Fund,TRUSTMF Multi Cap Fund,Tata Multicap Fund,UTI Multi Cap Fund,Union Multicap Fund,WhiteOak Capital Multi Cap Fund
2023-11-30,15.66000,13.03000,,13.50400,13.61000,234.77260,11.07000,,11.03320,,,14.52400,13.98360,645.78000,19.92510,115.33000,13.76500,12.59880,24.59080,10.85100,,75.55220,,529.92070,12.86870,,75.88410,,12.24670,,12.63000,10.83600
2023-12-01,15.75000,13.09000,,13.61900,13.72000,237.00040,11.14000,,11.13520,,,14.62300,14.08310,650.44000,20.09020,116.14000,13.90900,12.65880,24.71780,10.95200,,76.25120,,532.92670,12.92100,,76.64200,,12.35720,,12.72000,10.85500
2023-12-04,16.02000,13.24000,,13.83400,13.94000,239.80390,11.24000,,11.28160,,,14.86800,14.27380,661.99000,20.47290,117.67000,14.18100,12.80440,24.99570,11.11700,,77.31770,,538.61890,13.08090,,77.71310,,12.52870,,12.87000,11.01100
2023-12-05,16.10000,13.27000,,13.84100,13.99000,240.09540,11.28000,,11.31750,,,14.93800,14.30980,664.35000,20.56580,117.94000,14.24600,12.88340,25.01880,11.14000,,77.52110,,542.45130,13.07670,,78.24380,,12.59960,,12.88000,11.02200
2023-12-06,16.09000,13.27000,,13.84700,13.97000,240.30570,11.32000,,11.32230,,,14.96700,14.29970,666.13000,20.57810,118.00000,14.24600,12.87960,24.98280,11.13700,,77.56560,,544.75660,13.05800,,78.28390,,12.58430,,12.91000,11.03300
2023-12-07,16.09000,13.29000,,13.88300,13.96000,240.97440,11.32000,,11.32850,,,14.98000,14.29940,669.15000,20.62520,118.35000,14.27700,12.88230,24.98360,11.15900,,77.95800,,545.60070,13.10840,,78.44560,,12.60140,,12.91000,11.04600
2023-12-08,16.09000,13.25000,,13.85400,13.92000,239.98800,11.29000,,11.33360,,,14.95600,14.26690,668.58000,20.64650,118.37000,14.24200,12.86470,24.87100,11.19300,,77.94390,,542.30050,13.08860,,78.44620,,12.60610,,12.87000,11.03300
2023-12-11,16.20000,13.30000,,13.91000,14.02000,241.18940,11.35000,,11.40730,,,15.01700,14.33140,671.10000,20.82540,118.62000,14.36900,12.90700,25.19190,11.24200,,78.19510,,545.18360,13.10900,,79.23840,,12.64040,,12.95000,11.10000
2023-12-12,16.10000,13.27000,,13.87200,13.93000,239.73770,11.32000,,11.37600,,,14.99900,14.28570,668.45000,20.67180,118.08000,14.35500,12.82450,25.10880,11.19100,,77.81810,,544.12710,13.07030,,78.89130,,12.60080,,12.87000,11.09400
2023-12-13,16.18000,13.36000,,13.95200,14.05000,241.76740,11.41000,,11.46230,,,15.08400,14.44150,673.23000,20.87950,118.79000,14.54200,12.94480,25.32390,11.25900,,78.25510,,546.81470,13.16150,,79.51490,,12.66460,,12.96000,11.15800
2023-12-14,16.38000,13.60000,,14.12000,14.16000,244.67900,11.48000,,11.61650,,,15.24300,14.61620,679.96000,21.01900,119.92000,14.67600,13.08770,25.60030,11.38400,,78.77640,,552.64180,13.24820,,80.29530,,12.78550,,13.09000,11.29200
2023-12-15,16.47000,13.73000,,14.23200,14.27000,246.33910,11.55000,,11.72000,,,15.35200,14.70190,684.23000,21.16600,120.84000,14.70800,13.15760,25.75310,11.43800,,79.10360,,555.91590,13.26840,,80.77150,,12.89470,,13.12000,11.33000
2023-12-18,16.46000,13.74000,,14.25800,14.27000,247.08080,11.57000,,11.71650,,,15.36200,14.70060,686.61000,21.21590,120.79000,14.72100,13.18080,25.75210,11.48600,,79.24510,,559.41300,13.29030,,80.92380,,12.89750,,13.11000,11.33400
2023-12-19,16.46000,13.75000,,14.28800,14.24000,246.44640,11.58000,,11.70380,,,15.36000,14.71980,687.71000,21.21600,120.81000,14.73400,13.17100,25.81170,11.51000,,79.27030,,560.53980,13.27360,,80.92430,,12.91760,,13.10000,11.35400
2023-12-20,16.16000,13.49000,,13.96600,13.85000,241.14760,11.38000,,11.45540,,,14.99700,14.40860,673.70000,20.71990,118.55000,14.32500,12.82090,25.08170,11.26500,,77.43980,,543.16030,12.98690,,79.22290,,12.65620,,12.80000,11.09400
2023-12-21,16.30000,13.60000,,14.11200,14.00000,243.60580,11.48000,,11.54590,,,15.12800,14.56110,680.66000,20.96450,119.45000,14.47100,12.93650,25.46810,11.38000,,78.03610,,554.47570,13.08290,,79.87440,,12.72820,,12.91000,11.20400
2023-12-22,16.35000,13.74000,,14.23400,14.16000,245.91230,11.58000,,11.67090,,,15.22600,14.68150,684.74000,21.10820,120.59000,14.59600,13.02310,25.62390,11.47200,,78.43220,,559.43070,13.15790,,80.16720,,12.80820,,12.96000,11.27800
2023-12-26,16.37000,13.73000,,14.25900,14.23000,246.17990,11.62000,,11.70650,,,15.29000,14.70790,687.42000,21.25880,120.88000,14.67800,13.10120,25.76790,11.51300,,78.57720,,562.84940,13.15760,,80.19770,,12.83570,,12.99000,11.30700
2023-12-27,16.48000,13.83000,,14.35500,14.29000,247.43840,11.69000,,11.80720,,,15.38500,14.75190,690.50000,21.39800,121.62000,14.77000,13.14030,25.82760,11.60800,,79.16160,,565.27790,13.26190,,80.76370,,12.91520,,13.05000,11.36600
