Fund Name,Fund Code,Sector,MonthYear,Amount
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Oct 25,478.06 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Sep 25,398.87 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Aug 25,376.92 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jul 25,374.32 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jun 25,371.62 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,May 25,346.83 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Apr 25,329.7 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Mar 25,330.21 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Feb 25,374.25 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jan 25,453.06 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Dec 24,547.29 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Nov 24,480.94 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Oct 24,472.54 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Sep 24,455.95 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Aug 24,420.1 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jul 24,388.35 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jun 24,410.46 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,May 24,400.08 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Apr 24,351.59 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Mar 24,342.52 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Feb 24,306.25 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Jan 24,287.52 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Dec 23,346.5 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Nov 23,361.91 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Automobile,Oct 23,372.61 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Oct 25,453.29 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Sep 25,502.58 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Aug 25,501.8 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jul 25,551.88 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jun 25,584.81 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,May 25,460.29 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Apr 25,377.73 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Mar 25,405.76 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Feb 25,373.71 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jan 25,454.16 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Dec 24,590.18 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Nov 24,636.12 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Oct 24,629.48 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Sep 24,676.48 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Aug 24,621.46 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jul 24,627.14 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jun 24,662.58 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,May 24,643.03 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Apr 24,627.16 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Mar 24,551.86 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Feb 24,485.1 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Jan 24,560.45 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Dec 23,654.92 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Nov 23,613.73 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Capital Goods,Oct 23,580.05 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Oct 25,112.22 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Sep 25,118.2 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Aug 25,118.56 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jul 25,129.09 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jun 25,130.54 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,May 25,122.43 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Apr 25,111.11 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Mar 25,111.46 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Feb 25,103.41 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jan 25,87.34 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Dec 24,94.12 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Nov 24,97.35 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Oct 24,102.99 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Sep 24,108.88 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Aug 24,102.8 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jul 24,115.14 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jun 24,99.04 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,May 24,90.78 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Apr 24,70.8 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Mar 24,44.52 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Feb 24,50.41 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Jan 24,52.48 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Dec 23,52.78 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Nov 23,51.76 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Chemicals,Oct 23,52.37 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Oct 25,213.25 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Sep 25,180.32 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Aug 25,180.15 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jul 25,186.33 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jun 25,203.17 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,May 25,202.53 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Apr 25,215.61 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Mar 25,204.21 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Feb 25,188.34 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jan 25,203.08 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Dec 24,191.75 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Nov 24,163.59 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Oct 24,162.12 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Sep 24,171.87 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Aug 24,159.76 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jul 24,149.95 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jun 24,145.18 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,May 24,138.01 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Apr 24,132.94 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Mar 24,123.52 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Feb 24,112.93 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Jan 24,117.7 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Dec 23,103.77 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Nov 23,102.01 Cr
Aditya Birla Sun Life Multi Cap Fund,41934,Communication,Oct 23,91.93 Cr
