Fund Name,Large Cap %,Mid Cap %,Small Cap %,URL
Aditya Birla Sun Life Multi Cap Fund,42.41,28.33,26.53,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-multi-cap-fund-direct-growth/41934
Axis Multicap Fund,45.23,25.5,25.27,https://www.etmoney.com/mutual-funds/axis-multicap-fund/42286
Bajaj Finserv Multi Cap Fund,41.94,26.81,28.99,https://www.etmoney.com/mutual-funds/bajaj-finserv-multi-cap-fund/45271
Bandhan Multicap Fund,45.23,25.5,25.27,https://www.etmoney.com/mutual-funds/bandhan-multi-cap-fund/42285
Bank of India Multicap Fund,34.5,31.2,29.56,https://www.etmoney.com/mutual-funds/bank-of-india-multi-cap-fund/43593
Baroda BNP Paribas Multi Cap Fund,39.77,28.07,28.34,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-multi-cap-fund/1657
Canara Robeco Multi Cap Fund,43.8,27.44,25.91,https://www.etmoney.com/mutual-funds/canara-robeco-multi-cap-fund/43976
DSP Multicap Fund,27.76,27.99,39.4,https://www.etmoney.com/mutual-funds/dsp-multicap-fund/44362
Edelweiss Multi Cap Fund,46.87,26.74,25.17,https://www.etmoney.com/mutual-funds/edelweiss-multi-cap-fund/44161
Franklin India Multi Cap Fund,38.33,28.88,28.6,https://www.etmoney.com/mutual-funds/franklin-india-multi-cap-fund/44768
Groww Multicap Fund,54.14,24.12,16.94,https://www.etmoney.com/mutual-funds/groww-multicap-fund/43952
HDFC Multicap Fund,45.75,26.22,25.46,https://www.etmoney.com/mutual-funds/hdfc-multi-cap-fund/42327
HSBC Multi Cap Fund,43.75,29.1,25.97,https://www.etmoney.com/mutual-funds/hsbc-multi-cap-fund/43461
ICICI Prudential Multicap Fund,38.22,30.23,28.8,https://www.etmoney.com/mutual-funds/icici-prudential-multicap-fund/31865
Invesco India Multicap Fund,32.5,38.98,27.16,https://www.etmoney.com/mutual-funds/invesco-india-multicap-fund/6465
ITI Multi Cap Fund,47.72,25.47,26.05,https://www.etmoney.com/mutual-funds/iti-multi-cap-fund/40307
Kotak Multicap Fund,40.93,30.28,27.77,https://www.etmoney.com/mutual-funds/kotak-multicap-fund/42173
LIC MF Multi Cap Fund,38.29,26.7,31.68,https://www.etmoney.com/mutual-funds/lic-mf-multi-cap-fund/43071
Mahindra Manulife Multi Cap Fund,36.17,37.28,24.59,https://www.etmoney.com/mutual-funds/mahindra-manulife-multi-cap-fund/34477
Mirae Asset Multicap Fund,43.75,26.5,27.99,https://www.etmoney.com/mutual-funds/mirae-asset-multicap-fund/43983
Motilal Oswal Multi Cap Fund,24.86,39.1,29.6,https://www.etmoney.com/mutual-funds/motilal-oswal-multi-cap-fund/44697
Nippon India Multicap Fund,47.87,25.49,25.53,https://www.etmoney.com/mutual-funds/nippon-india-multi-cap-fund/2455
PGIM India Multi Cap Fund,40.29,28.5,28.96,https://www.etmoney.com/mutual-funds/pgim-india-multi-cap-fund/44863
Quant Multi Cap Fund,41.43,23.49,30.31,https://www.etmoney.com/mutual-funds/quant-multi-cap-fund/32605
Samco Multi Cap Fund,20.96,21.28,51.69,https://www.etmoney.com/mutual-funds/samco-multi-cap-fund/44886
SBI Multicap Fund,39.13,30.05,25.09,https://www.etmoney.com/mutual-funds/sbi-multicap-fund/42561
Sundaram Multi Cap Fund,5.94,94.01,0.0,https://www.etmoney.com/mutual-funds/sundaram-multi-cap-fund/42448
Tata Multicap Fund,42.95,26.99,26.35,https://www.etmoney.com/mutual-funds/tata-multicap-fund/43469
TRUSTMF Multi Cap Fund,58.55,21.84,17.17,https://www.etmoney.com/mutual-funds/trust-multi-cap-fund/43913
Union Multicap Fund,40.24,28.31,29.95,https://www.etmoney.com/mutual-funds/union-multicap-fund/43221
UTI Multi Cap Fund,41.3,27.22,28.9,https://www.etmoney.com/mutual-funds/uti-multi-cap-fund/45491
WhiteOak Capital Multi Cap Fund,33.83,28.92,32.37,https://www.etmoney.com/mutual-funds/whiteoak-capital-multi-cap-fund/44143
