Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),NAV,1D Change,NAV Date,52W High,52WH as on,52W Low,52WL as on,Number of Stocks,Expense Ratio,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Aditya Birla Sun Life Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,3,6748.154,21.37,-,14-Nov-25,21.55,29-Oct-25,17.45,28-Feb-25,89.0,0.72,0.0066,0.0259,0.04650000000000001,0.0739,0.0404,0.0766,0.1906,0.184,-,-
Axis Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,5,9099.311,19.21,-0.0021,14-Nov-25,19.44,29-Oct-25,15.9,28-Feb-25,126.0,0.74,0.0079,0.016399999999999998,0.0429,0.081,0.032799999999999996,0.0915,0.23800000000000002,0.2347,-,-
Bajaj Finserv Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,1022.746,11.616,0.0007000000000000001,14-Nov-25,11.646,17-Jul-25,9.915,07-Apr-25,69.0,0.67,0.0169,0.043,0.0559,0.061500000000000006,-,-,-,-,-,-
Bandhan Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,3,2841.673,18.59,-0.0011,14-Nov-25,18.707,29-Oct-25,15.477,03-Mar-25,90.0,0.56,0.013000000000000001,0.0215,0.0454,0.06860000000000001,0.06,0.083,0.1948,0.19699999999999998,-,-
Bank of India Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,968.047,18.89,0.0026,14-Nov-25,19.1,03-Nov-25,15.07,03-Mar-25,55.0,0.91,0.0037,0.028900000000000002,0.06480000000000001,0.0906,0.0642,0.0925,0.2011,-,-,-
Baroda BNP Paribas Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,2,3108.166,328.066,0.0022,14-Nov-25,340.336,11-Dec-24,274.304,28-Feb-25,68.0,0.92,0.0059,0.0229,0.0429,0.0629,-0.0091,0.0499,0.20620000000000002,0.2,0.23149999999999998,0.1578
Canara Robeco Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,4902.075,15.37,-0.0007000000000000001,14-Nov-25,15.48,29-Oct-25,12.48,28-Feb-25,99.0,0.43,0.0085,0.0233,0.0385,0.0839,0.060700000000000004,0.0986,0.203,-,-,-
DSP Multicap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,2627.885,12.527,-0.0011,14-Nov-25,12.74,11-Dec-24,10.303,03-Mar-25,68.0,0.51,0.0113,0.01,0.024900000000000002,0.0719,0.0213,0.0398,-,-,-,-
Edelweiss Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,3104.178,15.859,0.0012,14-Nov-25,16.073,16-Dec-24,12.975,03-Mar-25,100.0,0.41,0.008100000000000001,0.028900000000000002,0.050499999999999996,0.0703,0.028900000000000002,0.0698,0.2236,-,-,-
Edelweiss Recently Listed IPO Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,-,968.546,29.121,0.0016,14-Nov-25,31.08,03-Jan-25,23.372,03-Mar-25,50.0,0.97,0.0012,-0.0014000000000000002,0.0282,0.0837,-0.0438,0.0475,0.1432,0.1809,0.1962,-
